Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
39561,STANDARD,MC HENRY,MS,PRIMARY,30.69,-89.18,NA-US-MS-MC HENRY,false,690,1331,21640809
39456,STANDARD,MC LAIN,MS,PRIMARY,31.05,-88.8,NA-US-MS-MC LAIN,false,602,1156,18031063
39457,PO BOX,MC NEILL,MS,PRIMARY,30.7,-89.68,NA-US-MS-MC NEILL,false,343,631,9926678
39750,STANDARD,MABEN,MS,PRIMARY,33.55,-89.08,NA-US-MS-MABEN,false,1190,2204,27542643
39341,STANDARD,MACON,MS,PRIMARY,33.11,-88.56,NA-US-MS-MACON,false,3192,5664,62245351
39109,PO BOX,MADDEN,MS,PRIMARY,32.7,-89.37,NA-US-MS-MADDEN,false,,,
39110,STANDARD,MADISON,MS,PRIMARY,32.45,-90.1,NA-US-MS-MADISON,false,15649,30789,1028646903
39130,PO BOX,MADISON,MS,PRIMARY,32.45,-90.1,NA-US-MS-MADISON,false,736,1292,36019917
39111,STANDARD,MAGEE,MS,PRIMARY,31.87,-89.73,NA-US-MS-MAGEE,false,4053,7398,113022804
39652,STANDARD,MAGNOLIA,MS,PRIMARY,31.15,-90.46,NA-US-MS-MAGNOLIA,false,3333,6103,80044508
38855,STANDARD,MANTACHIE,MS,PRIMARY,34.32,-88.49,NA-US-MS-MANTACHIE,false,1832,3563,54482622
39751,STANDARD,MANTEE,MS,PRIMARY,33.68,-89.02,NA-US-MS-MANTEE,false,563,1045,15408639
38856,STANDARD,MARIETTA,MS,PRIMARY,34.5,-88.47,NA-US-MS-MARIETTA,false,710,1380,21812226
39342,STANDARD,MARION,MS,PRIMARY,32.42,-88.64,NA-US-MS-MARION,false,751,1300,23864412
38609,STANDARD,BELEN,MS,PRIMARY,34.26,-90.35,NA-US-MS-BELEN,false,,,
38646,STANDARD,MARKS,MS,PRIMARY,34.25,-90.27,NA-US-MS-MARKS,false,1281,2304,28350847
39752,STANDARD,MATHISTON,MS,PRIMARY,33.53,-89.12,NA-US-MS-MATHISTON,false,955,1857,28716799
39113,PO BOX,MAYERSVILLE,MS,PRIMARY,32.89,-91.04,NA-US-MS-MAYERSVILLE,false,,,
39753,PO BOX,MAYHEW,MS,PRIMARY,33.48,-88.59,NA-US-MS-MAYHEW,false,,,
39653,STANDARD,MEADVILLE,MS,PRIMARY,31.47,-90.89,NA-US-MS-MEADVILLE,false,1206,2285,41155747
39114,STANDARD,MENDENHALL,MS,PRIMARY,31.96,-89.86,NA-US-MS-MENDENHALL,false,3887,7230,112161750
39301,STANDARD,MERIDIAN,MS,PRIMARY,32.38,-88.71,NA-US-MS-MERIDIAN,false,10480,18824,283626787
39302,PO BOX,MERIDIAN,MS,PRIMARY,32.38,-88.71,NA-US-MS-MERIDIAN,false,608,998,24594342
39303,PO BOX,MERIDIAN,MS,PRIMARY,32.38,-88.71,NA-US-MS-MERIDIAN,false,405,679,16606642
39304,PO BOX,MERIDIAN,MS,PRIMARY,32.38,-88.71,NA-US-MS-MERIDIAN,false,453,767,10767097
39305,STANDARD,MERIDIAN,MS,PRIMARY,32.38,-88.71,NA-US-MS-MERIDIAN,false,8348,15228,352589774
39307,STANDARD,MERIDIAN,MS,PRIMARY,32.38,-88.71,NA-US-MS-MERIDIAN,false,6383,11208,143012354
39309,UNIQUE,MERIDIAN,MS,PRIMARY,32.38,-88.71,NA-US-MS-MERIDIAN,false,,,
38759,STANDARD,MERIGOLD,MS,PRIMARY,33.83,-90.72,NA-US-MS-MERIGOLD,false,629,1156,17917830
38760,PO BOX,METCALFE,MS,PRIMARY,33.45,-91,NA-US-MS-METCALFE,false,351,640,6679612
38647,STANDARD,MICHIGAN CITY,MS,PRIMARY,34.98,-89.25,NA-US-MS-MICHIGAN CITY,false,433,776,10182122
38944,STANDARD,MINTER CITY,MS,PRIMARY,33.75,-90.33,NA-US-MS-MINTER CITY,false,,,
39762,PO BOX,MISSISSIPPI STATE,MS,PRIMARY,33.45,-88.79,NA-US-MS-MISSISSIPPI STATE,false,557,849,18109662
39116,STANDARD,MIZE,MS,PRIMARY,31.86,-89.55,NA-US-MS-MIZE,false,977,1899,33477551
39654,STANDARD,MONTICELLO,MS,PRIMARY,31.55,-90.11,NA-US-MS-MONTICELLO,false,2592,4746,79530928
38857,STANDARD,MOOREVILLE,MS,PRIMARY,34.28,-88.59,NA-US-MS-MOOREVILLE,false,1370,2621,43668742
38761,STANDARD,MOORHEAD,MS,PRIMARY,33.44,-90.5,NA-US-MS-MOORHEAD,false,955,1740,18005554
38946,PO BOX,MORGAN CITY,MS,PRIMARY,33.37,-90.34,NA-US-MS-MORGAN CITY,false,,,
39117,STANDARD,MORTON,MS,PRIMARY,32.35,-89.65,NA-US-MS-MORTON,false,3886,7390,108686237
39459,STANDARD,MOSELLE,MS,PRIMARY,31.48,-89.32,NA-US-MS-MOSELLE,false,1321,2523,41055954
38762,STANDARD,MOUND BAYOU,MS,PRIMARY,33.88,-90.72,NA-US-MS-MOUND BAYOU,false,881,1545,16106323
39119,STANDARD,MOUNT OLIVE,MS,PRIMARY,31.75,-89.65,NA-US-MS-MOUNT OLIVE,false,2214,4137,57166560
38650,STANDARD,MYRTLE,MS,PRIMARY,34.55,-89.11,NA-US-MS-MYRTLE,false,1498,2838,39922440
39120,STANDARD,NATCHEZ,MS,PRIMARY,31.54,-91.38,NA-US-MS-NATCHEZ,false,11745,20822,310840632
39121,PO BOX,NATCHEZ,MS,PRIMARY,31.54,-91.38,NA-US-MS-NATCHEZ,false,601,1027,17113406
39122,PO BOX,NATCHEZ,MS,PRIMARY,31.54,-91.38,NA-US-MS-NATCHEZ,false,354,597,10888991
39461,STANDARD,NEELY,MS,PRIMARY,31.16,-88.75,NA-US-MS-NEELY,false,,,
38651,STANDARD,NESBIT,MS,PRIMARY,34.89,-90.02,NA-US-MS-NESBIT,false,3263,6154,141275122
38858,STANDARD,NETTLETON,MS,PRIMARY,34.09,-88.61,NA-US-MS-NETTLETON,false,2783,5263,72541372
38652,STANDARD,NEW ALBANY,MS,PRIMARY,34.49,-89.02,NA-US-MS-NEW ALBANY,false,6964,13289,206891626
39462,STANDARD,NEW AUGUSTA,MS,PRIMARY,31.2,-89.02,NA-US-MS-NEW AUGUSTA,false,509,920,14202493
39140,STANDARD,NEWHEBRON,MS,PRIMARY,31.72,-90.04,NA-US-MS-NEWHEBRON,false,941,1745,27934517
39345,STANDARD,NEWTON,MS,PRIMARY,32.31,-89.15,NA-US-MS-NEWTON,false,2716,4909,67752524
39463,PO BOX,NICHOLSON,MS,PRIMARY,30.49,-89.68,NA-US-MS-NICHOLSON,false,,,
38947,PO BOX,NORTH CARROLLTON,MS,PRIMARY,33.51,-89.91,NA-US-MS-NORTH CARROLLTON,false,304,578,8167405
39346,STANDARD,NOXAPATER,MS,PRIMARY,32.99,-89.06,NA-US-MS-NOXAPATER,false,946,1716,24402768
38948,STANDARD,OAKLAND,MS,PRIMARY,34.05,-89.91,NA-US-MS-OAKLAND,false,877,1576,20403335
39656,STANDARD,OAK VALE,MS,PRIMARY,31.44,-90,NA-US-MS-OAK VALE,false,381,710,10628833
39564,STANDARD,OCEAN SPRINGS,MS,PRIMARY,30.4,-88.8,NA-US-MS-OCEAN SPRINGS,false,15851,28673,644589818
39565,STANDARD,VANCLEAVE,MS,PRIMARY,30.4,-88.8,NA-US-MS-VANCLEAVE,false,7844,15113,302704993
39566,PO BOX,OCEAN SPRINGS,MS,PRIMARY,30.4,-88.8,NA-US-MS-OCEAN SPRINGS,false,600,985,19872103
38860,STANDARD,OKOLONA,MS,PRIMARY,34,-88.75,NA-US-MS-OKOLONA,false,2629,4719,57326516
38654,STANDARD,OLIVE BRANCH,MS,PRIMARY,34.95,-89.82,NA-US-MS-OLIVE BRANCH,false,20207,38281,925973852
39657,STANDARD,OSYKA,MS,PRIMARY,31,-90.47,NA-US-MS-OSYKA,false,971,1819,27772258
39464,STANDARD,OVETT,MS,PRIMARY,31.48,-89.03,NA-US-MS-OVETT,false,903,1793,29893019
38655,STANDARD,OXFORD,MS,PRIMARY,34.35,-89.52,NA-US-MS-OXFORD,false,13558,23547,487652523
38675,STANDARD,TULA,MS,PRIMARY,34.23,-89.36,NA-US-MS-TULA,false,,,
38764,PO BOX,PACE,MS,PRIMARY,33.79,-90.85,NA-US-MS-PACE,false,,,
39347,STANDARD,PACHUTA,MS,PRIMARY,32.04,-88.88,NA-US-MS-PACHUTA,false,626,1142,17542052
38765,PO BOX,PANTHER BURN,MS,PRIMARY,33.06,-90.87,NA-US-MS-PANTHER BURN,false,,,
39562,STANDARD,MOSS POINT,MS,PRIMARY,30.42,-88.52,NA-US-MS-MOSS POINT,false,6889,13059,256507530
39563,STANDARD,MOSS POINT,MS,PRIMARY,30.42,-88.52,NA-US-MS-MOSS POINT,false,5897,10216,162668146
39567,STANDARD,PASCAGOULA,MS,PRIMARY,30.36,-88.54,NA-US-MS-PASCAGOULA,false,4232,7423,150984631
39568,PO BOX,PASCAGOULA,MS,PRIMARY,30.36,-88.54,NA-US-MS-PASCAGOULA,false,507,806,20897173
39569,PO BOX,PASCAGOULA,MS,PRIMARY,30.36,-88.54,NA-US-MS-PASCAGOULA,false,,,
39581,STANDARD,PASCAGOULA,MS,PRIMARY,30.36,-88.54,NA-US-MS-PASCAGOULA,false,4773,8759,150017655
39595,UNIQUE,PASCAGOULA,MS,PRIMARY,30.36,-88.54,NA-US-MS-PASCAGOULA,false,,,
39571,STANDARD,PASS CHRISTIAN,MS,PRIMARY,30.31,-89.24,NA-US-MS-PASS CHRISTIAN,false,5412,9818,188302464
39144,STANDARD,PATTISON,MS,PRIMARY,31.85,-90.8,NA-US-MS-PATTISON,false,582,1087,11627556
39348,STANDARD,PAULDING,MS,PRIMARY,32,-89.07,NA-US-MS-PAULDING,false,,,
39145,STANDARD,PELAHATCHIE,MS,PRIMARY,32.31,-89.8,NA-US-MS-PELAHATCHIE,false,2189,4171,68936794
39573,STANDARD,PERKINSTON,MS,PRIMARY,30.78,-89.13,NA-US-MS-PERKINSTON,false,3046,5897,103107923
39465,STANDARD,PETAL,MS,PRIMARY,31.34,-89.25,NA-US-MS-PETAL,false,8767,16917,311986204
39755,STANDARD,PHEBA,MS,PRIMARY,33.59,-88.94,NA-US-MS-PHEBA,false,435,823,9895951
39350,STANDARD,PHILADELPHIA,MS,PRIMARY,32.77,-89.1,NA-US-MS-PHILADELPHIA,false,10607,19037,293583090
38950,STANDARD,PHILIPP,MS,PRIMARY,33.75,-90.2,NA-US-MS-PHILIPP,false,,,
39466,STANDARD,PICAYUNE,MS,PRIMARY,30.52,-89.67,NA-US-MS-PICAYUNE,false,10785,19966,329779958
39146,STANDARD,PICKENS,MS,PRIMARY,32.89,-89.96,NA-US-MS-PICKENS,false,1205,2195,25624218
39179,STANDARD,VAUGHAN,MS,PRIMARY,32.81,-90.09,NA-US-MS-VAUGHAN,false,454,843,11013701
39148,PO BOX,PINEY WOODS,MS,PRIMARY,32.12,-90.13,NA-US-MS-PINEY WOODS,false,,,
39149,STANDARD,PINOLA,MS,PRIMARY,31.82,-90.02,NA-US-MS-PINOLA,false,680,1220,15593310
38951,STANDARD,PITTSBORO,MS,PRIMARY,33.94,-89.33,NA-US-MS-PITTSBORO,false,380,722,9279915
38862,STANDARD,PLANTERSVILLE,MS,PRIMARY,34.21,-88.66,NA-US-MS-PLANTERSVILLE,false,1204,2194,32657102
38863,STANDARD,PONTOTOC,MS,PRIMARY,34.24,-89,NA-US-MS-PONTOTOC,false,8062,15383,234844643
38658,STANDARD,POPE,MS,PRIMARY,34.21,-89.94,NA-US-MS-POPE,false,926,1719,26721492
39470,STANDARD,POPLARVILLE,MS,PRIMARY,30.83,-89.53,NA-US-MS-POPLARVILLE,false,4519,8656,143475741
39352,STANDARD,PORTERVILLE,MS,PRIMARY,32.65,-88.48,NA-US-MS-PORTERVILLE,false,349,639,6805160
39150,STANDARD,PORT GIBSON,MS,PRIMARY,31.95,-90.98,NA-US-MS-PORT GIBSON,false,2555,4569,61036270
38659,STANDARD,POTTS CAMP,MS,PRIMARY,34.64,-89.3,NA-US-MS-POTTS CAMP,false,1135,2163,32160125
39756,STANDARD,PRAIRIE,MS,PRIMARY,33.8,-88.66,NA-US-MS-PRAIRIE,false,891,1593,17549338
39474,STANDARD,PRENTISS,MS,PRIMARY,31.59,-89.87,NA-US-MS-PRENTISS,false,2695,4780,63767399
39354,STANDARD,PRESTON,MS,PRIMARY,32.85,-88.8,NA-US-MS-PRESTON,false,739,1372,17709631
39151,PO BOX,PUCKETT,MS,PRIMARY,32.08,-89.77,NA-US-MS-PUCKETT,false,,,
39152,STANDARD,PULASKI,MS,PRIMARY,32.27,-89.63,NA-US-MS-PULASKI,false,485,945,12599722
39475,STANDARD,PURVIS,MS,PRIMARY,31.14,-89.4,NA-US-MS-PURVIS,false,4893,9441,180276275
39355,STANDARD,QUITMAN,MS,PRIMARY,32.04,-88.72,NA-US-MS-QUITMAN,false,2882,5371,85914193
39153,STANDARD,RALEIGH,MS,PRIMARY,32.03,-89.52,NA-US-MS-RALEIGH,false,1447,2756,40443718
38864,STANDARD,RANDOLPH,MS,PRIMARY,34.18,-89.16,NA-US-MS-RANDOLPH,false,534,1038,14758839
